name,rating_score,address,years_in_business,categories,phone_number
Dentkraft Dental Clinics,5.0,"Sector Number 10 Kharghar, Navi Mumbai",15 Years in Healthcare,Dentists,
Braces Plus Complete Dental Care,4.8,"Gandhi Nagar Bandra East, Mumbai",11 Years in Healthcare,Dentists,
Dentplus Multispeciality Dental Clinic,4.9,"MOMIN PADA Panvel, Navi Mumbai",16 Years in Healthcare,Dentists,
Dental Solutionz,5.0,"Shilp Chowk-Kharghar, Navi Mumbai",21 Years in Healthcare,Dentists,
Tamhankar Dental - Trusted Since 1972,4.8,"Panvel Panvel, Navi Mumbai",53 Years in Healthcare,Dentists,
Dr. Pal\'S Kids and Family Dental Care,5.0,"Sahyog Hospital Road Virar West, Palghar",1 Year in Healthcare,Dentists,
32 Happy Teeth,4.9,"Aarey Road Goregaon East, Mumbai",8 Years in Healthcare,Dentists,
Chetna Dental Junction,4.5,"Agra Road Mulund West, Mumbai",13 Years in Healthcare,Dentists,
Dr. Khushal Gangwani (Oramax Dental & Maxillofacial Clinic),4.9,"N S Road No 8 Juhu, Mumbai",10 Years in Healthcare,Dentists,
Guru Kripa Medical Trust,4.3,"M C Road Andheri East, Mumbai",15 Years in Healthcare,Dentists,
Dr. Wani\'s Shree Dental Care,4.7,"Station Road Ulhasnagar No 4, Thane",14 Years in Healthcare,Cosmetic Dentistry Doctors,
Dr. Bhatia\'s Dental Clinic And Implant Centre,4.6,"Gol Maidan Road Ulhasnagar No 2, Thane",14 Years in Healthcare,Cosmetic Dentistry Doctors,
Shree Dental Speciality Hospital,4.8,"Shree Dental Speciality Hospital Kalyan West, Kalyan",23 Years in Healthcare,Dentists,
DR. MEGHNA PRAKASH BHATIA\'S MULTI-SPECIALITY IMPLANT DENTAL CLINIC,4.6,"Bus Terminus Ulhasnagar No 1, Thane",53 Years in Healthcare,,
Om Dental Care & Implant Centre,4.9,"Nerul ( East Nerul, Navi Mumbai",25 Years in Healthcare,,
Shalaka Dental Clinic,4.4,"Sector 9 Vashi, Navi Mumbai",31 Years in Healthcare,,
Dr. Deepa\'s Dental Care Clinic,4.2,"Tisgaon Kalyan East, Kalyan",16 Years in Healthcare,,
Little Wonder Kids Dental Care,4.9,"Khadakpada-Kalyan West, Kalyan",12 Years in Healthcare,MDS,
Confidental Dental Clinic,4.7,"Lbs Road Thane West, Thane",16 Years in Healthcare,,
Desire Dental Charitable Trust Dental Clinic,5.0,"New Link Road Andheri West, Mumbai",16 Years in Healthcare,,
Bliss Skin And Dental Polyclinic Metropolis Lab,4.8,"Hill Road Bandra West, Mumbai",14 Years in Healthcare,,
The Dental 360 Multispeciality Clinic,4.6,"Neelkanth Darshan Building Panvel, Navi Mumbai",7 Years in Healthcare,,
Dr. Pushpak N Jain (Dentaland Clinic),4.9,"Retibundar Road Mumbra, Thane",9 Years in Healthcare,,
Maniar Dental Care,4.9,"M.G. Road Kandivali West, Mumbai",4 Years in Healthcare,,
Dr. Milind Shinde (Shinde Dental Clinic),4.6,"Main Bazar Road Ulhasnagar No 4, Thane",13 Years in Healthcare,,
Dr. Viral Gada (Virals Dental Avenue),4.9,"Corner Of PK Mulund West, Mumbai",6 Years in Healthcare,MDS - Prosthodontist And Crown Bridge,
Raj Dental Clinic & Implant Centre,4.9,"L T Road Dahisar West, Mumbai",10 Years in Healthcare,,
Smilearc Dental Clinic,4.8,"Ranade Road Dadar West, Mumbai",1 Year in Healthcare,"Dentists, Implantologist Doctors",
